Color Partner Product,Partner Product Break down,ProductGroupDescription,Reporter,Year,Color Reporter Region,Partner,PartnerISO3,PartnerRegion,ProductCode,Region Product Break down,ReporterISO3,ReporterRegion,AHS Weighted Average (%),Country Growth (%),Export Product Share (%),Export Trade Value (US$ Thousand),Import Product Share (%),Import Trade Value (US$ Thousand),Number of Records,Revealed comparative advantage,Trade Balance,Trade Flow Selection,Trade Flow Share,World Growth (%)
Footwear,New Zealand,Footwear,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,64-67_Footwear,Footwear,FRA,Europe & Central Asia,4.15340829,6.791355949,0.5,"$1,569.46 ",0.02,$95.43 ,1,0.4,1474.03,95.434,0.02,7.156129207
Fuels,Australia,Fuels,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,27-27_Fuels,Fuels,FRA,Europe & Central Asia,0.000501099,-4.536510542,0.07,"$2,887.07 ",52.9775,"$892,408.86 ",1,0.01,-889521.787,892408.858,52.9775,14.49274123
Fuels,Malaysia,Fuels,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,27-27_Fuels,Fuels,FRA,Europe & Central Asia,0,12.58971768,0.12,"$2,116.92 ",1.4417,"$36,709.07 ",1,0.03,-34592.151,36709.071,1.4417,27.13974321
Fuels,New Zealand,Fuels,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,27-27_Fuels,Fuels,FRA,Europe & Central Asia,0,45.33932239,0.02,$72.91 ,0.0003,$1.33 ,1,0.02,71.581,1.325,0.0003,12.22450295
Hides and Skins,Australia,Hides and Skins,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,41-43_HidesSkin,Hides and Skins,FRA,Europe & Central Asia,0.66358623,-2.775960507,0.53,"$22,685.65 ",0.778,"$13,104.99 ",1,3.38,9580.661,13104.986,0.778,7.025166136
Hides and Skins,Malaysia,Hides and Skins,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,41-43_HidesSkin,Hides and Skins,FRA,Europe & Central Asia,3.960001018,-9.825559738,0.49,"$8,808.35 ",0.0695,"$1,769.51 ",1,1.51,7038.84,1769.511,0.0695,9.683754171
Hides and Skins,New Caledonia,Hides and Skins,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,41-43_HidesSkin,Hides and Skins,FRA,Europe & Central Asia,0,1.325949368,0.35,"$3,221.11 ",0.0005,$1.33 ,1,0.73,3219.788,1.325,0.0005,3.258898562
Hides and Skins,New Zealand,Hides and Skins,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,41-43_HidesSkin,Hides and Skins,FRA,Europe & Central Asia,0.24339464,-7.132043419,0.5,"$1,577.42 ",1.3538,"$6,473.63 ",1,5.02,-4896.21,6473.627,1.3538,3.396482329
Mach and Elec,Australia,Machine and Electrical Equipment,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,84-85_MachElec,Mach and Elec,FRA,Europe & Central Asia,1.607612696,5.460424062,17.72,"$754,005.45 ",3.4567,"$58,228.18 ",1,0.88,695777.271,58228.183,3.4567,7.69772883
Mach and Elec,Malaysia,Machine and Electrical Equipment,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,84-85_MachElec,Mach and Elec,FRA,Europe & Central Asia,0.886037712,-7.195077486,30.38,"$547,782.67 ",68.001,"$1,731,431.50 ",1,0.69,-1183648.83,1731431.5,68.001,13.59424318
Mach and Elec,New Caledonia,Machine and Electrical Equipment,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,84-85_MachElec,Mach and Elec,FRA,Europe & Central Asia,0,0.351605569,28.54,"$263,233.83 ",1.3636,"$3,658.32 ",1,1.28,259575.511,3658.315,1.3636,7.223256372
Mach and Elec,New Zealand,Machine and Electrical Equipment,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,84-85_MachElec,Mach and Elec,FRA,Europe & Central Asia,1.356768507,-2.62505546,25,"$78,923.89 ",3.0375,"$14,524.57 ",1,1.08,64399.314,14524.572,3.0375,5.644905783
Metals,American Samoa,Metals,France,2010,East Asia & Pacific,American Samoa,ASM,East Asia & Pacific,72-83_Metals,Metals,FRA,Europe & Central Asia,0,,0.16,$1.33 ,0.381,$30.49 ,1,,-29.16,30.486,0.381,
Metals,Australia,Metals,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,72-83_Metals,Metals,FRA,Europe & Central Asia,0.31151362,-9.447843725,3.85,"$164,005.00 ",4.5101,"$75,972.34 ",1,0.67,88032.664,75972.337,4.5101,10.79222667
Metals,Malaysia,Metals,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,72-83_Metals,Metals,FRA,Europe & Central Asia,3.139305241,25.46655423,2.13,"$38,462.47 ",1.1517,"$29,324.84 ",1,0.61,9137.628,29324.842,1.1517,17.16877665
Metals,New Caledonia,Metals,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,72-83_Metals,Metals,FRA,Europe & Central Asia,0,2.885397751,6.94,"$64,023.26 ",95.4744,"$256,143.03 ",1,1.23,-192119.771,256143.03,95.4744,16.49209085
Metals,New Zealand,Metals,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,72-83_Metals,Metals,FRA,Europe & Central Asia,2.896575869,5.389179951,2.54,"$8,018.32 ",1.8921,"$9,047.70 ",1,0.65,-1029.388,9047.703,1.8921,13.05449326
Minerals,Australia,Minerals,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,25-26_Minerals,Minerals,FRA,Europe & Central Asia,0.006146469,15.28467034,0.02,"$1,008.75 ",4.3523,"$73,314.76 ",1,0.23,-72306.004,73314.756,4.3523,28.70278337
Minerals,Malaysia,Minerals,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,25-26_Minerals,Minerals,FRA,Europe & Central Asia,0,-7.48402066,0.07,"$1,259.28 ",0.5264,"$13,403.22 ",1,0.18,-12143.935,13403.218,0.5264,24.94300122
Minerals,New Caledonia,Minerals,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,25-26_Minerals,Minerals,FRA,Europe & Central Asia,0,-6.05689489,0.11,"$1,025.99 ",0.0618,$165.69 ,1,0.28,860.3,165.685,0.0618,40.06379414
Minerals,New Zealand,Minerals,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,25-26_Minerals,Minerals,FRA,Europe & Central Asia,0,-6.952690299,0.01,$18.56 ,0.0527,$251.84 ,1,0.02,-233.284,251.841,0.0527,40.14034865
Miscellaneous,Australia,Miscellaneous,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,90-99_Miscellan,Miscellaneous,FRA,Europe & Central Asia,0.318639387,6.336177751,6.18,"$262,918.34 ",7.0122,"$118,121.16 ",1,0.85,144797.181,118121.162,7.0122,7.901782948
Miscellaneous,Malaysia,Miscellaneous,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,90-99_Miscellan,Miscellaneous,FRA,Europe & Central Asia,0.846412092,5.497543881,4.39,"$79,075.00 ",6.5645,"$167,143.91 ",1,0.75,-88068.912,167143.911,6.5645,13.71195564
Miscellaneous,New Caledonia,Miscellaneous,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,90-99_Miscellan,Miscellaneous,FRA,Europe & Central Asia,0,16.50758369,8.35,"$77,037.61 ",0.3463,$929.16 ,1,0.46,76108.454,929.159,0.3463,71.39329965
Miscellaneous,New Zealand,Miscellaneous,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,90-99_Miscellan,Miscellaneous,FRA,Europe & Central Asia,0.135445029,-1.090192588,8.76,"$27,664.45 ",9.1287,"$43,650.59 ",1,0.94,-15986.137,43650.591,9.1287,6.393798069
Plastic or Rubber,American Samoa,Plastic or Rubber,France,2010,East Asia & Pacific,American Samoa,ASM,East Asia & Pacific,39-40_PlastiRub,Plastic or Rubber,FRA,Europe & Central Asia,2.25,,,,93.7541,"$7,500.87 ",1,,,7500.871,93.7541,
Plastic or Rubber,Australia,Plastic or Rubber,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,39-40_PlastiRub,Plastic or Rubber,FRA,Europe & Central Asia,6.339574604,-3.264250262,2.99,"$127,094.76 ",1.7955,"$30,246.05 ",1,0.96,96848.715,30246.048,1.7955,12.21272772
Plastic or Rubber,Malaysia,Plastic or Rubber,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,39-40_PlastiRub,Plastic or Rubber,FRA,Europe & Central Asia,1.940239175,10.32005831,1.53,"$27,669.76 ",9.8124,"$249,841.71 ",1,0.41,-222171.959,249841.714,9.8124,18.03200662
Plastic or Rubber,New Caledonia,Plastic or Rubber,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,39-40_PlastiRub,Plastic or Rubber,FRA,Europe & Central Asia,0,4.592822925,3.4,"$31,326.98 ",0.1457,$391.02 ,1,1.34,30935.961,391.015,0.1457,11.03249698
Plastic or Rubber,New Zealand,Plastic or Rubber,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,39-40_PlastiRub,Plastic or Rubber,FRA,Europe & Central Asia,5.271172872,5.468941894,4.33,"$13,663.88 ",0.3157,"$1,509.72 ",1,0.9,12154.162,1509.718,0.3157,10.76654656
Stone and Glass,Australia,Stone and Glass,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,68-71_StoneGlas,Stone and Glass,FRA,Europe & Central Asia,1.184465461,11.25994546,1.04,"$44,192.87 ",0.2441,"$4,111.63 ",1,0.25,40081.24,4111.629,0.2441,-1.616888494
Stone and Glass,Malaysia,Stone and Glass,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,68-71_StoneGlas,Stone and Glass,FRA,Europe & Central Asia,6.393139648,-2.845405978,0.8,"$14,435.36 ",0.554,"$14,105.72 ",1,0.23,329.636,14105.721,0.554,18.66274813
Stone and Glass,New Caledonia,Stone and Glass,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,68-71_StoneGlas,Stone and Glass,FRA,Europe & Central Asia,0,1.066145063,1.27,"$11,744.47 ",0.0924,$247.86 ,1,1.2,11496.605,247.863,0.0924,10.70983633
Stone and Glass,New Zealand,Stone and Glass,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,68-71_StoneGlas,Stone and Glass,FRA,Europe & Central Asia,3.443406404,-7.330686352,1.82,"$5,742.33 ",0.0821,$392.34 ,1,0.76,5349.988,392.341,0.0821,8.898848226
Textiles and Clothing,Australia,Textiles and Clothing,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,50-63_TextCloth,Textiles and Clothing,FRA,Europe & Central Asia,9.628089818,3.008321446,1.11,"$47,119.71 ",0.1151,"$1,939.17 ",1,0.3,45180.535,1939.172,0.1151,9.785143486
Textiles and Clothing,Malaysia,Textiles and Clothing,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,50-63_TextCloth,Textiles and Clothing,FRA,Europe & Central Asia,9.960048337,-0.425901579,0.44,"$7,917.58 ",2.1208,"$53,998.59 ",1,0.32,-46081.01,53998.586,2.1208,11.08892398
Textiles and Clothing,New Caledonia,Textiles and Clothing,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,50-63_TextCloth,Textiles and Clothing,FRA,Europe & Central Asia,0,0.586811156,3.3,"$30,477.29 ",0.0815,$218.70 ,1,0.78,30258.59,218.703,0.0815,2.551441573
Textiles and Clothing,New Zealand,Textiles and Clothing,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,50-63_TextCloth,Textiles and Clothing,FRA,Europe & Central Asia,2.00846117,-5.488963811,1.54,"$4,854.20 ",0.3623,"$1,732.40 ",1,0.23,3121.807,1732.397,0.3623,8.438176393
Transportation,Australia,Transportation,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,86-89_Transport,Transportation,FRA,Europe & Central Asia,1.476770809,16.93118018,39.59,"$1,684,496.06 ",2.1626,"$36,429.40 ",1,0.75,1648066.667,36429.397,2.1626,20.49404761
Transportation,Malaysia,Transportation,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,86-89_Transport,Transportation,FRA,Europe & Central Asia,2.230281081,-6.021556295,45.22,"$815,389.52 ",1.0105,"$25,728.82 ",1,6.24,789660.698,25728.823,1.0105,11.60421449
Transportation,New Caledonia,Transportation,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,86-89_Transport,Transportation,FRA,Europe & Central Asia,0,-11.95381006,11.66,"$107,581.18 ",0.3365,$902.65 ,1,1.14,106678.534,902.649,0.3365,-4.636464671
Transportation,New Zealand,Transportation,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,86-89_Transport,Transportation,FRA,Europe & Central Asia,1.295927229,-62.08288285,20.17,"$63,657.40 ",8.3084,"$39,728.51 ",1,1.28,23928.896,39728.507,8.3084,12.16040657
Vegetable,American Samoa,Vegetable,France,2010,East Asia & Pacific,American Samoa,ASM,East Asia & Pacific,06-15_Vegetable,Vegetable,FRA,Europe & Central Asia,6.188088967,,2.69,$22.54 ,3.5454,$283.65 ,1,,-261.117,283.652,3.5454,
Vegetable,Australia,Vegetable,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,06-15_Vegetable,Vegetable,FRA,Europe & Central Asia,3.878728656,7.506916441,0.3,"$12,693.57 ",1.4838,"$24,994.51 ",1,0.35,-12300.941,24994.51,1.4838,5.317349237
Vegetable,Malaysia,Vegetable,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,06-15_Vegetable,Vegetable,FRA,Europe & Central Asia,4.869895526,21.43909227,1.09,"$19,695.18 ",1.0928,"$27,824.40 ",1,0.27,-8129.221,27824.402,1.0928,14.84057696
Vegetable,New Caledonia,Vegetable,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,06-15_Vegetable,Vegetable,FRA,Europe & Central Asia,0,2.951792874,1.07,"$9,876.75 ",0.0855,$229.31 ,1,0.75,9647.447,229.307,0.0855,-0.990593993
Vegetable,New Zealand,Vegetable,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,06-15_Vegetable,Vegetable,FRA,Europe & Central Asia,6.209640391,12.32573117,0.58,"$1,830.60 ",13.93,"$66,609.17 ",1,0.24,-64778.572,66609.171,13.93,5.243967254
Wood,Australia,Wood,France,2010,East Asia & Pacific,Australia,AUS,East Asia & Pacific,44-49_Wood,Wood,FRA,Europe & Central Asia,0.565325569,-0.991318181,1.84,"$78,387.03 ",0.2658,"$4,477.46 ",1,0.94,73909.575,4477.459,0.2658,11.844371
Wood,Malaysia,Wood,France,2010,East Asia & Pacific,Malaysia,MYS,East Asia & Pacific,44-49_Wood,Wood,FRA,Europe & Central Asia,1.034664487,34.56435866,1,"$18,119.09 ",2.0052,"$51,057.36 ",1,0.81,-32938.267,51057.356,2.0052,13.56124688
Wood,New Caledonia,Wood,France,2010,East Asia & Pacific,New Caledonia,NCL,East Asia & Pacific,44-49_Wood,Wood,FRA,Europe & Central Asia,0,-2.523049588,3.66,"$33,763.36 ",0.1388,$372.46 ,1,1.57,33390.899,372.458,0.1388,0.370443035
Wood,New Zealand,Wood,France,2010,East Asia & Pacific,New Zealand,NZL,East Asia & Pacific,44-49_Wood,Wood,FRA,Europe & Central Asia,0.020821924,-2.380165478,7.21,"$22,746.62 ",1.0295,"$4,922.82 ",1,1.68,17823.804,4922.819,1.0295,9.009231092
Animal,Albania,Animal,France,2010,Europe & Central Asia,Albania,ALB,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,0.002207743,51.45292441,0.36,$222.69 ,7.4091,"$2,656.26 ",1,0.2,-2433.562,2656.256,7.4091,-1.911326557
Animal,Andorra,Animal,France,2010,Europe & Central Asia,Andorra,AND,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,0,-12.00287697,5.29,"$16,325.61 ",0.1411,$17.23 ,1,1.05,16308.375,17.231,0.1411,-5.122848106
Animal,Armenia,Animal,France,2010,Europe & Central Asia,Armenia,ARM,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,10.86194777,-15.01966932,1.13,$562.04 ,14.5819,"$1,370.54 ",1,0.51,-808.505,1370.542,14.5819,1.399763966
Animal,Austria,Animal,France,2010,Europe & Central Asia,Austria,AUT,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,,1.260831413,1.52,"$67,972.10 ",0.6518,"$38,299.64 ",1,1.02,29672.461,38299.643,0.6518,0.33496725
Animal,Belgium,Animal,France,2010,Europe & Central Asia,Belgium,BEL,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,,0.73950708,4.14,"$1,592,085.93 ",2.788,"$1,310,191.10 ",1,2.09,281894.83,1310191.095,2.788,2.194755919
Animal,Netherlands,Animal,France,2010,Europe & Central Asia,Netherlands,NLD,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,,6.513135656,2.5,"$533,597.84 ",6.7283,"$1,694,751.59 ",1,1.3,-1161153.746,1694751.59,6.7283,2.575951806
Animal,Norway,Animal,France,2010,Europe & Central Asia,Norway,NOR,Europe & Central Asia,01-05_Animal,Animal,FRA,Europe & Central Asia,2.341744788,1.648143821,0.98,"$19,114.59 ",11.7668,"$763,731.60 ",1,1.14,-744617.014,763731.601,11.7668,-0.3313115
Chemicals,Albania,Chemicals,France,2010,Europe & Central Asia,Albania,ALB,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,0,10.95325802,9.62,"$5,885.49 ",2.917,"$1,045.80 ",1,2.75,4839.689,1045.801,2.917,0.999990903
Chemicals,Andorra,Chemicals,France,2010,Europe & Central Asia,Andorra,AND,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,0,-13.3058174,13.59,"$41,928.81 ",2.3665,$288.95 ,1,1.13,41639.857,288.954,2.3665,-3.477431844
Chemicals,Armenia,Chemicals,France,2010,Europe & Central Asia,Armenia,ARM,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,5.566571618,2.750537385,19.33,"$9,628.87 ",0.0846,$7.95 ,1,4.09,9620.921,7.953,0.0846,3.962396442
Chemicals,Austria,Chemicals,France,2010,Europe & Central Asia,Austria,AUT,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,,-5.566055643,11.87,"$530,086.44 ",16.8895,"$992,469.08 ",1,1.55,-462382.645,992469.08,16.8895,4.352734433
Chemicals,Belgium,Chemicals,France,2010,Europe & Central Asia,Belgium,BEL,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,,6.483394306,21.72,"$8,357,464.22 ",13.6277,"$6,404,099.31 ",1,0.94,1953364.913,6404099.307,13.6277,2.233449381
Chemicals,Netherlands,Chemicals,France,2010,Europe & Central Asia,Netherlands,NLD,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,,-0.40136495,13.67,"$2,916,272.05 ",17.1558,"$4,321,282.67 ",1,1.42,-1405010.618,4321282.665,17.1558,4.081460509
Chemicals,Norway,Chemicals,France,2010,Europe & Central Asia,Norway,NOR,Europe & Central Asia,28-38_Chemicals,Chemicals,FRA,Europe & Central Asia,0.001909216,-1.76075687,7.72,"$150,699.02 ",1.8562,"$120,480.51 ",1,1.28,30218.514,120480.51,1.8562,4.799292385
Food Products,Albania,Food Products,France,2010,Europe & Central Asia,Albania,ALB,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,0.431508737,24.78427935,2.14,"$1,308.33 ",2.4808,$889.39 ,1,0.23,418.936,889.393,2.4808,4.745159553
Food Products,Andorra,Food Products,France,2010,Europe & Central Asia,Andorra,AND,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,0,0.435679988,11.88,"$36,651.76 ",0.7056,$86.16 ,1,0.95,36565.599,86.156,0.7056,-0.064157418
Food Products,Armenia,Food Products,France,2010,Europe & Central Asia,Armenia,ARM,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,15.11541981,11.21618352,9.22,"$4,594.39 ",6.2473,$587.19 ,1,1.19,4007.207,587.185,6.2473,8.067648754
Food Products,Austria,Food Products,France,2010,Europe & Central Asia,Austria,AUT,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,,-2.118477829,4.49,"$200,740.27 ",2.2375,"$131,483.29 ",1,1.55,69256.976,131483.291,2.2375,0.073219027
Food Products,Azerbaijan,Food Products,France,2010,Europe & Central Asia,Azerbaijan,AZE,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,20,-7.15596033,2.35,"$3,270.16 ",0.0044,$72.90 ,1,0.13,3197.259,72.901,0.0044,8.914152177
Food Products,Belgium,Food Products,France,2010,Europe & Central Asia,Belgium,BEL,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,,-3.891670868,8.8,"$3,386,341.07 ",7.1902,"$3,378,907.32 ",1,2.41,7433.747,3378907.32,7.1902,-1.288313206
Food Products,Netherlands,Food Products,France,2010,Europe & Central Asia,Netherlands,NLD,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,,-0.880564629,8.49,"$1,810,347.45 ",13.5201,"$3,405,495.05 ",1,2.1,-1595147.601,3405495.052,13.5201,0.370970101
Food Products,Norway,Food Products,France,2010,Europe & Central Asia,Norway,NOR,Europe & Central Asia,16-24_FoodProd,Food Products,FRA,Europe & Central Asia,6.254913027,1.179867228,6.95,"$135,763.93 ",0.1378,"$8,946.97 ",1,2.21,126816.966,8946.965,0.1378,2.510780461
Footwear,Albania,Footwear,France,2010,Europe & Central Asia,Albania,ALB,Europe & Central Asia,64-67_Footwear,Footwear,FRA,Europe & Central Asia,0,-63.38103212,0.04,$26.51 ,25.9613,"$9,307.50 ",1,0,-9280.984,9307.495,25.9613,12.77263722
Footwear,Andorra,Footwear,France,2010,Europe & Central Asia,Andorra,AND,Europe & Central Asia,64-67_Footwear,Footwear,FRA,Europe & Central Asia,0,-4.894067929,3.56,"$10,988.90 ",0.5211,$63.62 ,1,0.96,10925.276,63.622,0.5211,1.163614563
